timestamp,temp,rolling_avg,rolling_std,bollinger_upper,bollinger_lower
2025-03-15 00:00:00+01:00,67.2,,,,
2025-03-15 00:00:01+01:00,68.2,,,,
2025-03-15 00:00:02+01:00,68.2,,,,
2025-03-15 00:00:03+01:00,69.1,,,,
2025-03-15 00:00:04+01:00,69.6,,,,
2025-03-15 00:00:05+01:00,69.1,,,,
2025-03-15 00:00:06+01:00,69.1,,,,
2025-03-15 00:00:07+01:00,68.2,,,,
2025-03-15 00:00:08+01:00,67.2,,,,
2025-03-15 00:00:09+01:00,66.7,,,,
2025-03-15 00:00:10+01:00,67.7,,,,
2025-03-15 00:00:11+01:00,66.2,,,,
2025-03-15 00:00:12+01:00,66.7,,,,
2025-03-15 00:00:13+01:00,67.2,,,,
2025-03-15 00:00:14+01:00,66.2,,,,
2025-03-15 00:00:15+01:00,67.7,,,,
2025-03-15 00:00:16+01:00,65.2,,,,
2025-03-15 00:00:17+01:00,66.2,,,,
2025-03-15 00:00:18+01:00,68.2,,,,
2025-03-15 00:00:19+01:00,68.2,67.60499999999999,1.1767372375835596,71.13521171275067,64.0747882872493
2025-03-15 00:00:20+01:00,69.1,67.7,1.2182817926554534,71.35484537796637,64.04515462203364
2025-03-15 00:00:21+01:00,69.1,67.74499999999999,1.2538257244802467,71.50647717344073,63.98352282655925
2025-03-15 00:00:23+01:00,67.2,67.69500000000001,1.254664979397413,71.45899493819225,63.93100506180777
2025-03-15 00:00:24+01:00,68.2,67.65,1.2172012764405145,71.30160382932155,63.99839617067846
2025-03-15 00:00:25+01:00,66.7,67.50500000000001,1.1431604390782983,70.93448131723491,64.07551868276511
2025-03-15 00:00:26+01:00,68.2,67.46,1.0937140971551007,70.7411422914653,64.1788577085347
2025-03-15 00:00:27+01:00,67.2,67.365,1.0240656845709664,70.4371970537129,64.2928029462871
2025-03-15 00:00:28+01:00,67.2,67.315,1.0053933506213866,70.33118005186415,64.29881994813584
2025-03-15 00:00:29+01:00,67.2,67.315,1.0053933506213866,70.33118005186415,64.29881994813584
2025-03-15 00:00:30+01:00,67.7,67.36500000000001,0.9980375480754387,70.35911264422633,64.37088735577369
2025-03-15 00:00:31+01:00,67.2,67.34,0.9954633938126836,70.32639018143806,64.35360981856195
2025-03-15 00:00:32+01:00,67.2,67.39,0.9596600275207177,70.26898008256215,64.51101991743785
2025-03-15 00:00:33+01:00,66.2,67.365,0.9847655344774968,70.31929660343249,64.4107033965675
2025-03-15 00:00:34+01:00,66.7,67.34,0.9954633938126838,70.32639018143806,64.35360981856195
2025-03-15 00:00:35+01:00,66.7,67.36500000000001,0.9713121889593819,70.27893656687816,64.45106343312186
2025-03-15 00:00:36+01:00,66.7,67.31500000000001,0.9788688423513799,70.25160652705415,64.37839347294587
2025-03-15 00:00:37+01:00,65.7,67.34,0.9270212624598452,70.12106378737954,64.55893621262047
2025-03-15 00:00:38+01:00,65.7,67.315,0.9653333212174156,70.21099996365224,64.41900003634775
2025-03-15 00:00:39+01:00,66.2,67.215,0.9723953062304261,70.13218591869128,64.29781408130873
2025-03-15 00:00:40+01:00,66.7,67.14,0.9500138503145586,69.99004155094367,64.28995844905633
2025-03-15 00:00:41+01:00,65.2,66.94500000000001,0.9264959453997259,69.72448783619919,64.16551216380083
2025-03-15 00:00:42+01:00,65.7,66.775,0.8155559937535887,69.22166798126077,64.32833201873925
2025-03-15 00:00:43+01:00,67.2,66.775,0.8155559937535887,69.22166798126077,64.32833201873925
2025-03-15 00:00:44+01:00,68.2,66.775,0.8155559937535887,69.22166798126077,64.32833201873925
2025-03-15 00:00:45+01:00,67.7,66.825,0.8409737463829038,69.34792123914872,64.30207876085129
2025-03-15 00:00:46+01:00,68.2,66.82500000000002,0.8409737463829038,69.34792123914873,64.3020787608513
2025-03-15 00:00:47+01:00,67.2,66.82500000000002,0.8409737463829038,69.34792123914873,64.3020787608513
2025-03-15 00:00:49+01:00,66.7,66.8,0.8366600265340961,69.30998007960228,64.29001992039771
2025-03-15 00:00:50+01:00,67.2,66.8,0.8366600265340961,69.30998007960228,64.29001992039771
2025-03-15 00:00:51+01:00,66.7,66.75,0.8094832659757544,69.17844979792726,64.32155020207274
2025-03-15 00:00:52+01:00,67.2,66.75,0.8094832659757544,69.17844979792726,64.32155020207274
2025-03-15 00:00:53+01:00,65.7,66.67500000000001,0.8346918750747672,69.17907562522431,64.17092437477571
2025-03-15 00:00:54+01:00,65.7,66.65,0.8568608558662442,69.22058256759874,64.07941743240127
2025-03-15 00:00:55+01:00,65.7,66.6,0.8825799501581134,69.24773985047433,63.95226014952566
2025-03-15 00:00:56+01:00,66.2,66.575,0.8866702941490497,69.23501088244716,63.91498911755286
2025-03-15 00:00:57+01:00,66.2,66.55,0.8900029568253931,69.22000887047618,63.879991129523816
2025-03-15 00:00:58+01:00,66.2,66.57500000000002,0.8717043197395997,69.19011295921882,63.95988704078122
2025-03-15 00:00:59+01:00,66.2,66.6,0.8522416262268168,69.15672487868045,64.04327512131954
2025-03-15 00:01:00+01:00,66.2,66.6,0.8522416262268168,69.15672487868045,64.04327512131954
2025-03-15 00:01:01+01:00,66.2,66.575,0.8564768715960716,69.14443061478822,64.00556938521179
2025-03-15 00:01:02+01:00,66.2,66.625,0.7992595257322415,69.02277857719672,64.22722142280328
2025-03-15 00:01:03+01:00,67.7,66.72500000000001,0.8025452930323991,69.13263587909721,64.31736412090281
2025-03-15 00:01:04+01:00,66.2,66.67500000000001,0.8025452930324,69.08263587909721,64.26736412090281
